"Story","Title","Result","Date","Stability","Duration (s)"
"Spartan auth api post test","Editor","ERROR","2022-12-07T20:02:51.1345713+03:00[Asia/Istanbul]","0.0","5.07"
"Spartan auth api post test","New Spartan 1 - name","SUCCESS","2022-12-07T20:02:56.3469348+03:00[Asia/Istanbul]","0.0","0.84"
"Spartan auth api post test","New Spartan 2 - name","FAILURE","2022-12-07T20:02:57.1925909+03:00[Asia/Istanbul]","0.0","0.64"
"Spartan auth api post test","New Spartan 3 - name","SUCCESS","2022-12-07T20:02:57.831903+03:00[Asia/Istanbul]","0.0","0.59"
"Spartan auth api post test","New Spartan 4 - name","SUCCESS","2022-12-07T20:02:58.4278173+03:00[Asia/Istanbul]","0.0","0.54"
"Spartan auth api post test","New Spartan 5 - name","SUCCESS","2022-12-07T20:02:58.9710168+03:00[Asia/Istanbul]","0.0","0.73"
"Spartan auth api post test","New Spartan 6 - name","SUCCESS","2022-12-07T20:02:59.6980749+03:00[Asia/Istanbul]","0.0","0.56"
"Spartan auth api post test","New Spartan 7 - name","FAILURE","2022-12-07T20:03:00.2626431+03:00[Asia/Istanbul]","0.0","0.58"
"Spartan auth api post test","New Spartan 8 - name","FAILURE","2022-12-07T20:03:00.8456788+03:00[Asia/Istanbul]","0.0","0.68"
"Spartan auth api post test","New Spartan 9 - name","SUCCESS","2022-12-07T20:03:01.5282081+03:00[Asia/Istanbul]","0.0","0.54"
"Spartan auth api post test","New Spartan 10 - name","SUCCESS","2022-12-07T20:03:02.0736886+03:00[Asia/Istanbul]","0.0","0.62"
